active_transport,weight
no,69.75
no,60.75
no,81
no,85.5
yes,81
yes,57.15
yes,60.75
yes,83.25
no,67.05
no,70
yes,74.25
yes,94.5
yes,67.5
no,73
yes,117
no,81
yes,82.35
no,76.5
no,47.7
yes,65.25
no,69.75
yes,56.25
no,111.6
yes,85.5
yes,101.25
no,90
no,67.5
yes,81
yes,58.5
no,62.1
yes,63
yes,60.75
no,78.3
yes,69.3
no,81
yes,53.1
yes,55.8
no,93.6
no,69.75
no,78.75
yes,94.5
no,76.5
yes,60.75
no,53.55
yes,72
yes,72
yes,58.5
no,78.75
no,76.5
yes,76.95
yes,72.9
no,81
yes,74.25
no,112.5
yes,75.15
no,81
yes,88.2
no,69.75
yes,63
no,83.25
no,84.15
no,123.75
no,83.25
no,69.3
yes,69.75
yes,72
no,80.1
yes,81
no,72
yes,89.1
no,87.75
yes,62.55
no,99
yes,85.5
no,74.25
no,95.4
no,67.5
yes,90
no,95
no,112.5
no,45
no,69.75
no,94.5
yes,81
no,87.75
yes,72
no,70.65
no,83.25
no,70
no,56.25
yes,90
no,124.2
yes,85
no,54
yes,63
no,63
no,90.9
no,65.25
yes,81
yes,85.5
no,60.75
no,78.75
yes,54
no,56.25
yes,56.25
yes,82.8
no,56.25
no,85.5
no,76.5
yes,90
yes,108
no,82.35
no,78.75
yes,77
no,108
yes,71.1
no,99
no,90
no,67.05
yes,78.75
yes,90
yes,65.25
no,94.95
yes,54
yes,90
no,69.75
yes,85.5
no,72
no,62.1
no,103.5
yes,72
yes,81
no,81
no,60.75
no,50.4
no,76.5
no,72.9
no,98.1
yes,90
no,81
yes,67.5
no,90
no,87.75
no,63
no,85.5
yes,88
no,72
no,76.5
yes,62.1
yes,80.1
no,74.25
no,84.15
yes,99
yes,53.1
yes,94.5
no,65.7
no,85.5
no,81
no,58.5
no,58.5
yes,67.5
yes,50.4
yes,54
yes,72
no,58.5
yes,112.5
no,121.5
no,81
yes,72
yes,91.8
no,112.5
yes,63
no,59.85
yes,86.4
yes,58.5
no,84.6
no,81
no,119.25
yes,69.75
yes,78.75
no,81
yes,83.25
yes,83.25
no,42.75
no,58.5
no,75
no,85
no,59.4
no,91.8
no,63
yes,94.5
no,69.75
yes,60.75
no,70
yes,90
yes,85
no,51.3
no,90
no,54
yes,94.5
no,77.4
yes,90
no,81
yes,115
yes,67.5
yes,69
no,83.25
yes,67.5
no,60.75
no,78.75
no,117
yes,90
no,71.55
yes,76.5
yes,67.05
yes,71.1
yes,87.75
no,85.95
no,57.15
yes,76.5
yes,49.5
yes,72
no,77.4
no,92.25
no,54
no,47.7
yes,78.75
no,92.25
yes,67.5
yes,92.25
no,103.5
no,68.85
no,56.25
no,63
no,121.5
yes,57.6
no,85.5
yes,67.5
yes,67.5
no,78.75
no,126
no,56.25
yes,47.7
no,76.5
no,108
no,67.5
yes,83.25
yes,81
no,73
yes,65.25
no,67.5
yes,80.1
no,76.5
no,76.5
no,47.25
no,65.25
no,72.9
yes,60.75
no,76.5
yes,83.25
no,94.5
no,85.5
no,72
no,67.5
no,74.25
no,49.5
no,64.35
yes,60.75
no,66.15
yes,74.25
yes,53.55
yes,76.5
no,76.5
no,118.35
no,96.75
no,87.3
yes,78.75
no,65.25
yes,60.75
yes,99
no,60.75
yes,78.75
no,85
no,69.75
no,94.5
yes,65.25
no,94.5
no,47.25
yes,67.5
no,58.5
yes,77.4
yes,54
no,58.5
yes,74.25
no,81
no,58.5
no,83.25
no,50.4
yes,63
yes,61
no,105.75
yes,74.25
no,78.75
yes,66.15
no,81.9
no,81
yes,56.25
no,81
yes,72.9
no,67.95
no,53.1
no,72
no,56.25
no,92.25
yes,53.1
yes,92.25
no,101.25
no,90
no,70.2
no,81
yes,76.5
no,90
yes,58.5
no,81
no,121.5
yes,90
yes,63
yes,55.8
yes,83.25
yes,67.5
yes,77.4
no,87.75
yes,94.5
yes,81
no,81
no,60.3
no,74.25
yes,45
yes,73.35
no,99
no,69.75
no,45
yes,83.25
no,72
no,69.75
yes,55
no,54
no,56.7
yes,101.25
yes,69.75
yes,94.5
no,49
yes,76
yes,87.75
yes,63
no,94.5
yes,78.75
yes,68
no,101.25
no,87.75
no,67.5
no,99
yes,76.05
yes,62
yes,67.5
yes,60.75
yes,65.25
no,58.5
no,63
no,56.25
no,58.5
yes,83.25
yes,43
yes,74.25
no,50.4
yes,52.2
no,56
yes,77.4
no,56.25
yes,83.25
yes,54.9
no,108
yes,90
yes,76.5
yes,55
yes,78.75
no,76.5
no,81
no,65.25
no,49.5
yes,45
yes,68
no,81
no,105.75
yes,64
no,65.25
no,94.5
yes,119.25
no,92.25
no,135
no,94.5
no,71.55
no,92.25
no,94.5
no,97.2
no,99
yes,87.75
no,81
no,63
no,51.75
no,49.5
no,77.4
yes,54
yes,58.5
no,58.5
no,54.9
no,67.5
no,62.1
no,77.4
yes,55
yes,112.5
no,112.5
yes,96.75
no,94.5
yes,96.75
yes,73
no,74.25
no,75.15
no,78.75
yes,74.25
yes,76.5
no,78.75
no,56.25
yes,65.25
no,90
no,45
no,85.95
no,60.75
yes,60
yes,59.85
no,85.5
no,81
no,99
yes,95.4
yes,92.25
no,63
no,94.5
no,85.5
no,65.25
yes,76.5
no,69.75
no,69
no,67.5
yes,76.5
no,74.25
yes,72
yes,74.25
no,60.75
no,51.75
yes,76.5
no,67.5
yes,49.5
yes,85.05
no,72.9
no,64
no,63
yes,44.1
yes,67.05
yes,81
no,83.25
no,62.55
yes,81
yes,76.5
no,58.5
yes,69.75
no,71.1
no,121.5
yes,60
no,76.5
no,76.5
no,90
no,74.25
no,61
yes,60.75
no,63
no,77.85
yes,72
yes,103.5
no,99
no,72.45
no,76.5
no,90
no,83.7
no,83.25
no,72
no,72
no,72
no,100.35
yes,119.25
no,67.5
yes,112.5
yes,76.95
no,53.1
yes,101.25
yes,69.75
no,48.6
yes,71.55
no,60.75
yes,97.65
yes,80
no,90
no,76.5
yes,110
no,47.25
no,86.4
yes,67.5
no,87.75
yes,78
no,67.5
no,105.75
no,64.35
no,72
no,63
no,114.3
yes,90
yes,58.5
no,87.75
yes,76.95
no,72
no,101.25
yes,53
no,87.75
yes,56.25
no,90
yes,72
no,72
yes,75
yes,58.5
no,119.25
yes,67.5
no,67.5
yes,76.5
no,81
no,60.3
yes,90
yes,56.25
yes,72.9
no,83.25
no,74.25
yes,99
no,55.35
yes,74.25
yes,93.15
yes,65
no,65.25
yes,87.75
yes,78.75
no,117.9
no,74.25
no,88.2
no,94.05
no,72.9
no,51.75
yes,80
no,79.65
no,68.85
no,103.5
no,83.25
yes,65.25
no,81
no,74.25
no,84.15
no,51.75
no,54
no,62.1
yes,99.9
no,78.75
yes,42.75
yes,72
yes,90.45
yes,65.25
yes,83.25
yes,85.5
yes,108
no,90
no,108
yes,103.5
no,87
no,76.5
no,61.2
yes,99
yes,62.1
no,57.15
yes,67.5
no,56.25
no,61.2
yes,65.25
yes,73.8
no,81
no,78.75
no,83.25
no,90.9
no,76.5
no,92.25
no,54
yes,72
no,76.5
no,108
no,63
yes,72
no,94.5
no,77.4
yes,74.7
yes,92.25
no,78.75
no,48.15
no,90
no,90
no,135
no,83.25
yes,85.5
yes,74.25
no,86.85
no,56.25
no,77.85
yes,121.5
no,89.1
no,114.75
yes,82.8
no,49.5
no,69.75
yes,50.85
no,76.5
no,63.9
no,66.15
no,90
no,78.75
no,87.75
no,90
yes,90.9
no,63
yes,91.8
yes,135
yes,96.75
no,85.5
no,103.5
yes,85
no,63
yes,51.75
no,87.75
yes,76.5
yes,80
no,76.5
yes,83.25
no,90
yes,78.75
yes,58.5
no,102
no,58.5
yes,90
no,108.9
no,94.5
no,126
no,72
yes,75.15
no,72
no,57.15
yes,75.15
no,87.75
no,90
yes,57
yes,56.25
yes,68.4
no,76.5
no,83.25
no,67.5
yes,83.25
yes,72
yes,101.25
no,81
no,96.75
no,65.25
no,65.25
no,45
no,90
no,95.85
no,65.25
no,72
yes,60.75
no,63
no,89.1
no,73
yes,78.75
no,56.25
no,74
yes,54
no,80.1
yes,61
no,78.75
no,72.45
no,81.9
yes,81
no,66.6
no,81
no,85.5
yes,67.5
yes,55
yes,63
yes,63
no,87.75
yes,52.65
no,56.25
no,103.5
no,92.25
yes,90
no,78.75
yes,81
yes,126
yes,102.15
no,63.9
yes,54
no,72
yes,99.9
no,85.5
no,90
no,104.4
no,121.5
no,63
no,72.9
no,81
yes,90
yes,76.5
yes,56.25
no,72
yes,90
no,84.15
yes,78.75
yes,82
yes,87.75
yes,81.9
no,78
yes,54
yes,63
yes,99
yes,114.75
no,58.5
yes,60.75
yes,81
no,78.75
yes,130.5
yes,81
yes,94.5
yes,72
yes,105.75
no,77.85
yes,90
no,101.25
yes,90
no,72.9
no,50.4
no,76.5
no,85.5
no,85.5
yes,93.15
yes,78.75
no,60.75
no,81
yes,58.5
no,99
no,90
yes,80
no,73
no,94.5
yes,123.75
no,94.5
yes,83.25
no,95.4
yes,58.5
no,72
no,100
no,99
no,121.5
yes,94.5
no,66.15
yes,72
yes,54
no,92
yes,56.25
no,78.75
no,76.5
no,67.05
no,74.25
no,81
no,86.4
no,55.8
yes,81
no,49.05
no,108.9
no,87.75
no,81
no,63
yes,94.5
no,103.5
no,78.75
no,74.25
yes,60.75
no,65.25
yes,101.25
yes,94.5
no,111.15
yes,51.75
no,84
no,111.6
yes,69.75
no,69.75
no,71.1
no,94.5
yes,90
no,81
yes,94.5
yes,74.25
no,74.25
yes,49.5
no,117
yes,63
no,62.55
no,58.5
yes,67.5
yes,62.1
no,63
yes,121.05
yes,58.5
yes,94.5
yes,85.5
yes,111.6
no,73.35
yes,85.5
no,60.3
yes,85.5
yes,76.5
no,81
no,72
yes,72
no,85.5
yes,76.5
yes,58.5
yes,85.5
yes,87.75
no,96.75
no,45
yes,63
yes,76.5
yes,63
no,83.25
no,76.5
yes,52.2
yes,46.35
yes,93.6
no,99
no,77.4
no,78.75
yes,76.5
no,48
no,80
no,83.25
no,63
yes,81
yes,63
yes,63.9
no,57.6
no,72
yes,92.25
no,99
yes,87.75
yes,77.85
no,78.75
no,99
yes,76.5
no,99
yes,94.5
yes,66.6
yes,87.75
yes,58.5
no,76.5
no,99
yes,60
no,74.25
no,72
yes,126
no,71.1
no,77.4
no,60
yes,54.45
no,81
no,65.25
yes,63
yes,45
yes,92.25
no,94.5
no,78.75
yes,83.25
no,84.15
no,60.75
no,92.25
no,90
no,76.5
yes,91.35
no,72
no,83.25
no,70.2
yes,72
yes,67.5
no,83.25
yes,63
no,63
yes,85
no,51.75
no,54
no,72
yes,72
no,78.75
no,63
no,90
no,49.5
no,65.25
no,60.75
no,69.75
yes,52.65
no,130.5
no,99
yes,69.3
yes,90
yes,74.25
yes,70.65
yes,60.75
yes,71.1
yes,105.75
no,97.2
yes,67.5
yes,65
no,117
no,69.75
no,90
no,67.5
yes,56.25
no,72
yes,70.65
yes,64.8
no,81
no,108
no,81
yes,67.5
no,78.75
yes,54
no,103.5
no,68.4
no,72
yes,59.4
no,85.5
yes,83.25
yes,54
yes,49.5
no,63
no,99
yes,112.5
no,94.5
yes,87.75
no,62.55
yes,58.05
no,55
no,81
no,63
no,51.75
yes,74.25
no,78.75
yes,85.5
yes,58.5
yes,83.25
yes,76.5
yes,61.65
no,99
yes,63
no,90
no,94
no,69.75
no,82.35
yes,58.5
yes,76.5
no,110.25
no,76.5
yes,62.1
no,57.6
no,76.5
no,76.5
yes,72.9
no,81.9
yes,72
no,90
