country,iso,oda,pop,stunting
Afghanistan,AFG,135268.08,32269.592,40.900002
Albania,ALB,2133.69,2884.169,11.32335
Algeria,DZA,3292.11,37383.899,11.689597
Angola,AGO,7578.24,28842.482,37.572975
Armenia,ARM,10978.23,2936.147,9.3989458
Azerbaijan,AZE,696.8700000000001,9385.467,17.772455
Bangladesh,BGD,80612.58,154517.385,36.17548
Belize,BLZ,1218.52,360.926,14.957868
Bhutan,BTN,2144.08,685.502,33.509102
Bosnia and Herzegovina,BIH,17426.41,3604.972,8.8865614
Burkina Faso,BFA,16228.64,19193.236,21.086735
Burundi,BDI,23466.35,10488.002,55.947155
Cambodia,KHM,11245.58,15274.506,32.443226
Cameroon,CMR,25401.41,22681.853,31.703356
Central African Republic,CAF,5160.96,4436.411,39.620312
Chad,TCD,11656.48,14110.971,39.769051
Chile,CHL,7196.19,17758.969,1.8
Colombia,COL,13639.03,45222.699,12.595284
Comoros,COM,3380.35,723.865,31.116522
Congo,COG,3248.38,4856.093,21.187216
Democratic Republic of the Congo,COD,76658.74,71358.804,42.691772
Djibouti,DJI,2752.97,868.136,33.508377
Dominican Republic,DOM,2129.7400000000002,10048.226,7.1238279
Ecuador,ECU,4870.32,15951.832,23.936787
Egypt,EGY,48278.5,90424.668,22.264397
El Salvador,SLV,2000.81,6295.124,13.648426
Equatorial Guinea,GNQ,585.36,986.861,26.200001
Eritrea,ERI,2424,3170.437,52.02895
Eswatini,SWZ,1546.89,1095.022,25.549469
Ethiopia,ETH,99182.48,103603.461,38.403637
Gabon,GAB,2269.7400000000002,1749.677,17.030087
Gambia,GMB,1824,1963.708,24.568148
Ghana,GHA,37613.5,27224.48,18.795174
Guatemala,GTM,13664.82,16252.425,46.713612
Guinea,GIN,16370.76,11738.434,32.416702
Guinea-Bissau,GNB,1871.06,1692.433,27.613249
Guyana,GUY,4842.41,763.371,11.270885
Haiti,HTI,24434.65,10982.367,21.9461
Honduras,HND,13438.86,8640.692,22.622423
India,IND,123220.42,1310152.392,37.891937
Indonesia,IDN,6506.330000000001,251805.314,36.400002
Iraq,IRQ,51751.1,30725.305,22.059761
Jamaica,JAM,2975.14,2875.137,5.9979162
Jordan,JOR,32654.94,8089.963,7.7766194
Kazakhstan,KAZ,2815.1,17572.01,8.0358334
Kenya,KEN,58739.76,46700.063,26.188608
Kyrgyzstan,KGZ,9890.62,5844.521,12.919108
Lao People's Democratic Republic,LAO,4650.7,6347.564,44.179504
Lesotho,LSO,2496.8,2043.448,33.399006
Liberia,LBR,16813.16,4248.337,32.081665
Madagascar,MDG,17829.25,22961.259,48.885666
Malawi,MWI,22351.66,16745.305,37.388771
Malaysia,MYS,-297.63,30684.652,20.700001
Mali,MLI,36625.37,17438.772,30.420599
Marshall Islands,MHL,4252.17,58.053,34.780201
Mauritania,MRT,6250.03,4046.304,27.908867
Mexico,MEX,25036.27,123333.379,10.02702
Mongolia,MNG,10637.26,3056.358,7.2517247
Montenegro,MNE,4094.69,626.342,9.3939915
Morocco,MAR,42866.83,32781.86,14.881968
Mozambique,MOZ,56539.409999999996,24187.5,42.943184
Myanmar,MMR,46274.13,53045.199,29.367733
Namibia,NAM,7204.94,2233.506,22.716341
Nepal,NPL,38108.13,27263.43,36.020176
Nicaragua,NIC,17385.9,5982.53,17.259342
Niger,NER,34501.13,20788.789,40.555103
Nigeria,NGA,55853.96,185960.244,43.575397
North Macedonia,MKD,5776.76,2072.484,4.9483523
Oman,OMN,0,4027.255,14.1
Papua New Guinea,PNG,11667.33,7310.512,49.4543
Paraguay,PRY,2173.96,6777.878,5.5974822
Peru,PER,2395.31,31444.299,12.878624
Philippines,PHL,10871.1,102113.206,33.400002
Rwanda,RWA,39398.91,11369.066,38.224499
Rwanda,RWA,39398.91,11369.066,36.907341
Saint Lucia,LCA,1243.5,176.654,2.4853137
Samoa,WSM,3147.81,192.22,4.9202862
Sao Tome and Principe,STP,1448.3,195.727,17.195467
Senegal,SEN,25351.44,15419.354,16.510544
Serbia,SRB,12164.73,8898.284,5.9821701
Seychelles,SYC,2214.06,92.608,7.9000001
Sierra Leone,SLE,13641.37,6863.975,37.821293
Solomon Islands,SLB,5718.74,603.133,31.64473
South Africa,ZAF,33059.49,56207.649,27.421284
Sri Lanka,LKA,14863.66,21021.177,17.299999
Sudan,SDN,27396.35,37977.657,38.243538
Suriname,SUR,3100.49,529.126,8.7959299
Tajikistan,TJK,10696.85,8880.27,17.510275
Thailand,THA,5106.97,68971.313,10.51544
Timor-Leste,TLS,7499.96,1153.288,50.882687
Togo,TGO,6176.88,7137.997,27.578115
Tonga,TON,3507.9500000000003,102.736,8.1000004
Tunisia,TUN,31756.86,10846.993,10.131404
Turkey,TUR,73765.96,75925.454,9.9302521
Turkmenistan,TKM,293.91,5565.283,11.460349
Uganda,UGA,58476.8,39649.173,28.917191
Uruguay,URY,485.31,3368.926,10.7
Vanuatu,VUT,2591.89,256.637,28.5
Viet Nam,VNM,102581.64,92677.082,24.6
Yemen,YEM,22848.17,25147.112,46.409473
Zambia,ZMB,34264.16,14926.551,39.994259
Zimbabwe,ZWE,23491.93,13814.642,27.0735
