"","country","fertility","contraception"
"1","Afghanistan",6.42592857142857,16.1714285714286
"2","Albania",1.93278571428571,65.5
"3","Algeria",2.64857142857143,59.575
"4","Angola",6.59792857142857,6.2
"5","Argentina",2.43342857142857,71.8
"6","Armenia",1.67835714285714,56.1666666666667
"7","Australia",1.85628571428571,71.55
"8","Austria",1.40285714285714,69.6
"9","Azerbaijan",1.93525,53.8666666666667
"10","Bahamas, The",1.90607142857143,44.6
"11","Bangladesh",2.61271428571429,57.2566666666667
"12","Belarus",1.36478571428571,67.85
"13","Belgium",1.76428571428571,73.5333333333333
"14","Belize",3.008,44.75
"15","Benin",5.41257142857143,16.1666666666667
"16","Bhutan",2.73635714285714,43.9
"17","Bolivia",3.49364285714286,57.4666666666667
"18","Bosnia and Herzegovina",1.27757142857143,43
"19","Botswana",3.02392857142857,48.6
"20","Brazil",2.02357142857143,80.6
"21","Bulgaria",1.40642857142857,69.2
"22","Burkina Faso",6.13128571428571,15.8
"23","Burundi",6.58278571428571,16.6
"24","Cambodia",3.15921428571429,38.1
"25","Cameroon",5.23757142857143,26.05
"26","Canada",1.58327142857143,74
"27","Central African Republic",4.93492857142857,20.7
"28","Chad",6.89178571428571,5.16666666666667
"29","Chile",1.90757142857143,59.55
"30","China",1.59835714285714,87.4
"31","Colombia",2.14378571428571,78.0666666666667
"32","Comoros",4.962,22.55
"33","Congo, Dem. Rep.",6.64471428571429,22.425
"34","Congo, Rep.",5.05,44.5
"35","Costa Rica",2.04971428571429,86.06
"36","Cote d'Ivoire",5.4395,15.55
"37","Croatia",1.48142857142857,69
"38","Cuba",1.63557142857143,75.4833333333333
"39","Czech Republic",1.34428571428571,86.3
"40","Djibouti",3.81942857142857,17.075
"41","Dominican Republic",2.70185714285714,68.12
"42","Ecuador",2.7675,72.7
"43","Egypt, Arab Rep.",3.14042857142857,58.9
"44","El Salvador",2.3405,69.9
"45","Equatorial Guinea",5.39328571428571,11.35
"46","Eritrea",4.84278571428571,8.2
"47","Estonia",1.53857142857143,63.4
"48","Ethiopia",5.47707142857143,17.1333333333333
"49","Fiji",2.81421428571429,39.634
"50","France",1.96214285714286,76.4
"51","Gabon",4.2095,31.9
"52","Gambia, The",5.81914285714286,13.6
"53","Georgia",1.7195,47.0666666666667
"54","Germany",1.36142857142857,66.2
"55","Ghana",4.39371428571429,24.9
"56","Greece",1.35428571428571,76.2
"57","Grenada",2.33292857142857,54
"58","Guam",2.59671428571429,66.6
"59","Guatemala",3.77035714285714,48.7
"60","Guinea",5.60414285714286,7.06666666666667
"61","Guinea-Bissau",5.32728571428571,10.7
"62","Guyana",2.80378571428571,37.15
"63","Haiti",3.64985714285714,31.5333333333333
"64","Honduras",3.14321428571429,66.7333333333333
"65","Hong Kong SAR, China",1.04078571428571,82.85
"66","India",2.8685,52.75
"67","Indonesia",2.48985714285714,58.363
"68","Iran, Islamic Rep.",1.86128571428571,75.855
"69","Iraq",4.46621428571429,48.6
"70","Ireland",1.97785714285714,76.2666666666667
"71","Jamaica",2.42971428571429,70.1333333333333
"72","Japan",1.34778571428571,54.0666666666667
"73","Jordan",3.65014285714286,58.35
"74","Kazakhstan",2.33714285714286,50.9
"75","Kenya",4.79221428571429,42.4
"76","Kiribati",3.89807142857143,26.6333333333333
"77","Korea, Dem. Rep.",1.99957142857143,69.6
"78","Korea, Rep.",1.21485714285714,80.72
"79","Kyrgyz Republic",2.76142857142857,42.05
"80","Lao PDR",3.59264285714286,40.1333333333333
"81","Lebanon",1.74242857142857,58.1
"82","Lesotho",3.53471428571429,38.66
"83","Liberia",5.32942857142857,13.8666666666667
"84","Libya",2.67571428571429,41.9
"85","Lithuania",1.40142857142857,62.9
"86","Macedonia, FYR",1.54428571428571,26.85
"87","Madagascar",4.95078571428571,31.4
"88","Malawi",5.80342857142857,37.55
"89","Malaysia",2.22928571428571,49
"90","Maldives",2.38307142857143,36.85
"91","Mali",6.68464285714286,8.7
"92","Marshall Islands",4.3875,39.3
"93","Mauritania",5.03142857142857,9.56666666666667
