year,month,geo,sex,x15_to_19_years,x25_to_54_years,minimum_wage
1976,1,Alberta,Both sexes,46.4,73,NA
1976,1,Alberta,Females,44.5,53,NA
1976,1,Alberta,Males,48.2,92.4,NA
1976,1,British Columbia,Both sexes,38.7,67.9,3
1976,1,British Columbia,Females,39.5,48.5,3
1976,1,British Columbia,Males,37.9,86.8,3
1976,1,Manitoba,Both sexes,41.5,69.4,NA
1976,1,Manitoba,Females,41.4,50,NA
1976,1,Manitoba,Males,41.6,88.9,NA
1976,1,New Brunswick,Both sexes,27.8,58,NA
1976,1,New Brunswick,Females,29.1,41.1,NA
1976,1,New Brunswick,Males,26.6,75,NA
1976,1,Newfoundland and Labrador,Both sexes,22.6,50.3,2.5
1976,1,Newfoundland and Labrador,Females,23,29.2,2.5
1976,1,Newfoundland and Labrador,Males,22.2,70.4,2.5
1976,1,Nova Scotia,Both sexes,31.9,63.4,2.5
1976,1,Nova Scotia,Females,30.5,43.4,2.5
1976,1,Nova Scotia,Males,33.4,84.4,2.5
1976,1,Ontario,Both sexes,41.1,72.1,NA
1976,1,Ontario,Females,40.9,52.9,NA
1976,1,Ontario,Males,41.2,91.2,NA
1976,1,Prince Edward Island,Both sexes,32.6,62.1,NA
1976,1,Prince Edward Island,Females,38.5,42.2,NA
1976,1,Prince Edward Island,Males,26.6,83,NA
1976,1,Quebec,Both sexes,32.3,64.3,NA
1976,1,Quebec,Females,31.4,41.2,NA
1976,1,Quebec,Males,33.1,87.4,NA
1976,1,Saskatchewan,Both sexes,41.6,68.4,2.8
1976,1,Saskatchewan,Females,37,46.4,2.8
1976,1,Saskatchewan,Males,46,89.9,2.8
1976,2,Alberta,Both sexes,50.7,73.8,NA
1976,2,Alberta,Females,47.7,53.6,NA
1976,2,Alberta,Males,53.5,93.4,NA
1976,2,British Columbia,Both sexes,40,69.4,3
1976,2,British Columbia,Females,42.2,49.9,3
1976,2,British Columbia,Males,37.9,88.1,3
1976,2,Manitoba,Both sexes,42.9,69.2,NA
1976,2,Manitoba,Females,38.9,48.9,NA
1976,2,Manitoba,Males,46.9,89.7,NA
1976,2,New Brunswick,Both sexes,27.2,58.8,NA
1976,2,New Brunswick,Females,28,41.4,NA
1976,2,New Brunswick,Males,26.4,76.1,NA
1976,2,Newfoundland and Labrador,Both sexes,22.8,50,2.5
1976,2,Newfoundland and Labrador,Females,22,29.3,2.5
1976,2,Newfoundland and Labrador,Males,23.5,69.8,2.5
1976,2,Nova Scotia,Both sexes,31.1,62.2,2.5
1976,2,Nova Scotia,Females,30.1,42.2,2.5
1976,2,Nova Scotia,Males,31.8,83.3,2.5
1976,2,Ontario,Both sexes,40.6,72.4,NA
1976,2,Ontario,Females,41.3,53.3,NA
1976,2,Ontario,Males,39.9,91.4,NA
1976,2,Prince Edward Island,Both sexes,30.2,62.4,NA
1976,2,Prince Edward Island,Females,27.7,43.3,NA
1976,2,Prince Edward Island,Males,32.8,82,NA
1976,2,Quebec,Both sexes,30.9,64,NA
1976,2,Quebec,Females,29.2,41.3,NA
1976,2,Quebec,Males,32.6,86.7,NA
