Parliament,Session,speech
41st,2nd,"16 October 2013 Ottawa, Ontario"
41st,2nd,5 :02 p.m.
41st,2nd,"Honourable Senators, Members of the House of Commons, Ladies and gentlemen,"
41st,2nd,Let us begin this day together by honouring in silent reflection those whose lives were tragically taken at Lac- Mégantic.
41st,2nd,"I come before you today as one proud Canadian among a vast nation of these, sincere in congratulation on this opening day of the Second Session of the Forty-first Parliament of Canada. I bear the happy wishes and deep affection of Her Majesty Queen Elizabeth II, Queen of Canada, whose family has this year been blessed with the birth of Prince George."
41st,2nd,"Parliamentarians, you gather today with the high confidence and higher expectation of Canadians. Remember that our nation has embraced a unique set of indelible qualities that must guide your deliberations in this Parliament."
41st,2nd,"Consider this: we are inclusive. We are 35 million people gathered from every part of the world. We welcome the contribution of all those who inhabit this land - from the first of us to the latest among us. This year, we celebrate the 250th anniversary of the Royal Proclamation. This extraordinary document is part of the legal foundation of our country. It recognized the rights of Aboriginal people in Canada for the first time and established the basis of their relations with the Crown."
41st,2nd,"Consider this: we are honourable. People of peace, we use our military power sparingly; but when we do so we do so with full conviction, gathering our forces as men and women who believe that the freedoms we enjoy cannot be taken from us. This clarity focuses our might in terrible times. And wherever and whenever we unleash that might, we raise our grateful voices and our prayers to honour those who have stood in harm's way for us."
41st,2nd,"Consider this: we are selfless. Our survival has been sustained by humility and acceptance of our mutual interdependence. Giving lies in our very nature, certain in our hearts that none but the gift passed from an open hand will multiply as those we help better themselves, those they love and, at length, the country they call home."
41st,2nd,"Consider this: we are smart. We deplore self-satisfaction, yearning rather for self-improvement. We love learning and cherish our right to it. We are united, prosperous and free precisely because we ensure that Canadians have opportunities to learn, excel, advance, and thus to contribute."
41st,2nd,"Consider this: we are caring. Our abiding concern for the common good of our neighbours - in each community - makes us responsive. We do not abandon our fellows to scrape by in times of distress or natural disaster. Inspired by our common bond, we come swiftly and resiliently to the aid of those in need."
41st,2nd,"Today, as we contemplate our 150th anniversary, the eyes and ears and expectations of Canadians turn toward this Parliament, in trust that those who stand here in their place will relentlessly advance and uphold ideas that are inclusive, honourable, selfless, smart and caring at every turn without fail."
41st,2nd,"Let us not disappoint. And with that spirit and direction, let us turn now to the present."
41st,2nd,"Two and a half years ago, Canadians gave our Government a strong mandate: a mandate to protect jobs and our economy; a mandate to keep taxes low; a mandate to make our families and communities safe."
41st,2nd,"Despite ongoing uncertainty and instability from beyond our shores, our Government remains focused on these priorities. We made tough choices - the right choices for Canadian families. The results are clear: more Canadians have good jobs than ever before; families are paying lower taxes; our financial house is in order."
41st,2nd,"As the world looks to recovery, a rare opportunity now lies before us as Canadians: the opportunity to build on our ingenuity, our immense natural wealth, and our values and stability; the opportunity to secure the future, for our generation, and our children's generation. It is the opportunity to lead the world in security and prosperity - not for the sake of doing so, but so that Canadian families who work hard, pay their taxes and play by the rules can get ahead."
41st,2nd,This is Canada's moment; together we will seize it.
41st,2nd,"And as we do, we draw inspiration from our founders, leaders of courage and audacity. Nearly 150 years ago, they looked beyond narrow self-interest. They faced down incredible challenges - geographic, military, and economic. They were undaunted. They dared to seize the moment that history offered. Pioneers, then few in number, reached across a vast continent. They forged an independent country where none would have otherwise existed."
41st,2nd,In the words of Thomas D'Arcy McGee:
41st,2nd,"""I see in the not remote distance one great nationality bound, like the shield of Achilles, by the blue rim of ocean. I see it quartered into many communities, each disposing of its internal affairs, but all bound together by free institutions...''"
41st,2nd,"With hard work, sacrifice and common sense, those Canadian men and women built this country. In so doing, they founded a constitutional democracy, among the most enduring history has known. As we look to the 150th anniversary of our Confederation, we are reminded that ours is a rich inheritance: a legacy of freedom; the birthright of all humanity and the courage to uphold it; the rule of law, and the institutions to protect it; respect for human dignity and diversity."
41st,2nd,"Guided by these values, we Canadians - Aboriginal, French, English, people from all corners of the globe - strive together for our families and a brighter future. We are on the cusp of a moment that is uniquely Canada's."
41st,2nd,"Just as our founders dared, so too must we."
41st,2nd,"We must seize this moment to secure prosperity, for Canadians now, and the generations to follow."
41st,2nd,Creating jobs and securing economic growth is and will remain our Government's top priority.
41st,2nd,"When disaster struck the world economy, our Government's decisive and pragmatic leadership navigated Canada through the worst global recession in a generation."
41st,2nd,"Even before the recession hit, our Government was prepared. It maintained budget surpluses and paid down billions from the national debt. It lowered taxes for Canadians and job-creating businesses."
41st,2nd,"During the downturn, our Government's Economic Action Plan took the steps necessary to safeguard our economy. It protected Canadian jobs. It invested in infrastructure and productivity. And it controlled spending, while maintaining growing transfers that support health care, education and retirement."
