CTW_190,SLM_01,CTW_140A,DUR07,AGEGR10,SEX,MARSTAT,CXRFLAG,HHINCG1,LUC_RST,PRV
6,5,6,150,5,1,5,2,1,1,46
6,10,6,0,5,1,1,1,8,1,59
6,9,6,30,4,2,1,1,8,1,47
7,9,1,80,6,2,5,2,2,1,35
6,7,6,0,2,1,6,2,4,1,35
2,9,1,40,1,1,6,1,3,1,35
6,10,6,60,1,1,6,2,5,1,35
6,6,6,90,5,2,3,2,4,1,59
4,8,1,75,2,2,1,1,4,2,24
6,7,6,70,6,1,3,1,4,1,46
4,8,1,10,3,2,1,1,8,3,11
3,8,1,65,2,2,6,1,8,1,35
4,9,1,90,2,2,1,1,5,2,35
4,8,2,90,3,1,1,1,2,1,24
6,9,6,175,2,2,1,1,7,1,35
1,7,1,30,5,1,3,1,8,1,48
6,5,6,0,7,1,1,2,3,2,46
1,8,1,45,4,1,1,1,4,1,35
6,8,2,330,6,2,1,2,5,2,12
3,10,1,30,2,1,1,1,5,1,59
6,8,6,80,7,2,3,2,2,1,59
6,8,6,40,5,2,1,2,5,1,12
3,10,1,260,3,1,2,2,7,1,35
6,8,6,35,6,2,1,2,4,1,46
6,5,6,140,4,2,6,2,2,1,59
4,10,2,40,2,1,6,2,7,1,24
4,6,2,50,2,2,2,1,3,1,24
6,9,2,20,1,1,6,2,3,1,13
6,10,6,35,7,1,1,2,6,1,12
6,3,6,20,5,2,1,2,5,1,35
6,8,6,30,6,2,1,2,7,2,10
6,6,6,110,7,2,1,2,3,1,59
4,7,1,40,2,1,6,2,4,1,47
6,99,6,70,3,2,1,1,8,1,59
1,8,1,125,3,2,1,1,6,1,35
3,8,1,90,4,2,1,1,5,1,24
4,9,1,30,3,1,2,1,3,2,24
6,10,6,45,6,1,5,2,1,2,12
6,8,6,15,6,2,1,2,4,2,13
4,10,7,85,3,1,1,1,6,1,59
4,8,1,260,5,2,4,2,1,2,35
6,8,6,215,3,2,1,1,7,1,35
6,0,6,25,2,2,2,2,3,1,24
1,7,1,70,3,2,5,1,3,1,35
6,9,6,20,2,2,2,1,8,1,24
6,7,2,30,3,1,1,1,5,1,35
6,9,6,30,6,2,1,2,8,1,13
6,7,6,60,7,1,1,2,2,2,46
6,9,6,130,6,1,4,2,3,1,35
6,8,6,75,2,2,1,2,2,1,24
6,5,6,15,5,1,4,2,1,1,24
6,7,2,0,4,2,1,1,8,1,48
6,7,6,70,5,2,1,2,3,1,24
1,10,1,0,4,2,1,1,8,1,10
4,8,1,35,1,2,6,2,3,1,12
6,6,6,200,3,2,1,1,4,1,59
6,10,6,10,2,2,1,1,5,1,24
4,8,1,65,4,2,1,2,8,3,11
6,9,6,100,4,2,6,1,2,1,12
6,8,2,0,1,2,6,2,1,1,13
3,8,2,75,5,2,1,1,8,1,47
6,8,6,0,5,1,1,2,8,2,48
6,8,6,90,3,2,1,2,8,1,35
2,8,2,30,1,1,6,2,8,1,10
4,10,1,120,2,1,2,2,3,1,24
6,8,6,45,2,2,1,1,2,1,13
4,7,2,0,3,1,6,2,1,1,35
6,8,6,20,6,2,1,2,4,1,35
4,7,1,0,2,2,6,2,3,2,13
1,7,1,95,3,2,1,1,8,1,35
6,10,6,90,5,2,1,2,6,1,35
6,7,6,95,6,2,3,2,2,1,13
6,8,2,105,5,2,1,2,1,1,59
6,7,6,30,7,2,1,2,6,1,24
6,7,2,20,4,1,6,2,2,2,48
6,6,6,0,7,2,3,2,2,1,35
6,3,6,0,4,2,5,2,2,1,35
6,8,6,80,5,1,5,2,2,1,24
6,99,6,0,7,2,1,1,6,1,24
6,0,6,20,6,2,3,2,2,3,11
4,6,2,80,1,1,6,2,4,1,24
1,9,1,25,6,2,5,2,4,1,48
6,9,6,0,2,2,1,2,6,1,35
6,7,6,60,6,1,1,2,2,3,11
6,10,6,145,6,1,1,2,3,2,10
6,7,6,65,2,1,2,1,4,1,10
6,7,6,50,3,2,1,1,8,1,35
4,6,1,35,3,1,1,1,8,1,46
2,8,1,135,1,1,6,2,5,2,47
6,10,6,30,6,2,1,2,6,1,24
4,10,1,315,2,1,6,2,3,2,35
6,99,6,70,3,2,1,1,8,1,24
6,4,6,0,6,2,3,2,5,1,46
4,6,1,0,3,1,1,1,4,1,35
4,4,1,100,5,1,5,2,3,2,35
6,8,2,90,2,2,1,2,6,1,46
6,8,6,10,6,1,1,2,6,1,12
2,10,1,40,2,2,1,2,8,1,10
1,7,1,120,3,2,6,1,5,1,24
4,5,1,60,5,2,6,2,3,1,24
6,9,6,100,7,1,1,2,6,1,59
6,8,6,140,3,2,1,1,8,1,47
6,5,6,0,5,1,1,2,5,1,13
6,1,2,0,5,1,6,2,1,1,59
1,6,1,0,5,2,1,1,8,1,48
1,8,1,10,3,1,2,1,8,1,24
6,7,2,0,4,1,6,2,1,1,59
6,10,6,65,6,1,1,2,2,1,12
6,7,6,40,7,1,5,2,2,1,35
4,8,1,105,4,2,1,1,7,1,35
1,7,2,25,3,2,6,2,2,1,35
4,7,1,160,1,1,6,2,6,1,35
3,9,1,60,2,2,1,1,8,1,12
6,7,6,140,2,2,6,2,5,1,24
1,8,1,120,2,1,2,1,6,1,48
4,8,1,100,3,1,6,2,2,3,11
4,7,2,50,2,1,1,2,5,1,24
6,7,6,20,5,1,6,2,1,1,48
6,9,6,50,7,2,5,2,3,1,35
6,3,6,0,4,2,1,1,8,1,35
3,7,1,180,1,2,6,2,8,1,35
3,0,2,110,3,2,6,2,4,1,46
4,10,1,0,3,2,6,1,7,1,35
6,8,6,45,6,2,1,2,3,1,35
3,10,1,270,4,2,6,2,2,1,35
6,6,6,150,6,2,3,1,6,2,48
6,8,6,115,7,1,1,2,2,3,11
3,8,1,105,4,2,2,1,8,1,24
4,10,1,25,5,1,1,2,8,2,12
6,9,6,0,6,2,6,1,5,1,10
6,10,6,25,5,1,3,2,1,2,10
4,5,1,0,5,1,3,2,5,2,35
6,8,2,120,4,2,5,1,3,1,24
6,9,6,135,6,2,6,2,5,1,59
3,10,1,200,3,2,1,1,8,1,24
6,2,6,255,4,1,6,2,1,1,35
6,8,6,0,4,1,6,2,4,1,59
6,7,6,0,1,1,6,2,6,1,48
4,7,1,0,2,1,2,2,3,1,13
6,9,6,300,3,2,1,1,4,1,35
6,5,6,50,7,1,1,2,7,1,35
4,10,1,75,4,2,1,2,4,2,13
1,5,1,25,4,1,1,1,6,1,35
4,7,2,85,5,2,2,2,4,2,24
6,10,6,85,6,2,3,1,7,1,12
6,8,6,0,4,2,1,2,5,1,24
6,9,6,70,4,1,1,2,7,2,48
6,10,6,0,6,2,1,2,2,1,46
6,8,6,20,3,2,2,1,8,1,48
6,4,6,30,6,2,3,2,3,1,35
6,10,6,0,6,2,5,2,2,1,24
6,10,6,40,3,2,1,1,4,1,24
6,10,6,0,7,2,3,2,2,1,59
9,0,9,0,5,1,2,2,8,1,35
6,10,6,0,6,1,1,2,5,2,13
2,8,1,120,3,1,2,2,7,2,35
6,3,6,0,6,2,1,2,3,1,35
6,8,6,85,6,2,1,2,6,1,24
6,7,6,40,6,2,5,2,3,1,12
4,8,1,30,3,1,2,2,8,1,59
6,8,6,85,5,1,1,2,3,1,12
6,10,2,120,3,1,6,2,4,1,35
4,7,1,65,2,1,6,2,3,1,59
4,4,1,30,3,1,6,2,3,2,12
6,8,6,80,5,1,1,2,8,1,24
6,8,6,20,5,2,3,2,4,1,35
4,9,1,120,3,2,1,1,8,1,12
4,9,1,160,3,2,6,2,1,2,13
4,7,1,135,4,2,1,1,8,1,35
6,5,6,0,7,2,3,2,2,2,48
6,10,6,0,6,1,3,2,3,3,11
2,9,1,305,5,1,1,1,8,1,24
4,8,1,25,5,2,1,2,3,3,11
6,8,6,50,7,1,1,2,4,1,24
6,8,6,60,7,1,4,2,2,2,24
6,10,6,80,6,2,3,2,7,1,12
6,8,2,0,3,1,6,2,3,1,24
3,5,1,75,4,1,5,2,3,1,59
6,6,6,0,2,2,1,1,5,1,35
1,5,2,25,1,1,6,2,3,1,35
6,10,6,105,6,2,3,2,1,3,11
4,8,2,210,3,1,1,1,8,2,48
4,10,1,130,4,2,1,1,8,1,13
6,10,6,95,6,2,5,2,3,1,35
1,9,1,90,2,1,2,2,8,1,35
6,8,6,140,6,2,1,1,5,1,35
3,9,1,70,3,2,1,1,8,1,35
4,7,1,35,2,2,1,1,8,1,59
6,6,6,0,6,1,1,2,3,1,35
4,6,1,20,6,1,1,2,6,1,13
4,10,1,10,4,1,6,2,3,1,47
2,10,2,210,1,1,6,2,6,1,10
6,6,6,65,6,1,1,2,3,1,10
6,9,6,20,7,1,6,2,3,1,48
2,5,1,45,4,2,6,2,2,1,59
6,8,6,60,6,2,1,2,3,2,47
6,6,6,195,5,2,1,2,6,1,47
6,10,2,0,6,1,1,2,2,2,10
6,8,2,50,2,1,2,2,8,1,35
6,9,6,35,4,1,1,1,8,2,10
1,10,1,105,4,2,5,1,4,1,35
4,8,1,60,5,2,2,2,7,1,24
4,7,1,60,3,2,1,1,6,2,10
4,7,2,165,2,1,6,2,2,1,35
6,5,6,65,7,2,3,2,2,3,11
1,8,1,60,1,1,6,2,2,2,10
6,5,6,30,7,2,3,2,1,3,11
4,5,1,75,5,2,1,2,3,2,13
6,7,6,750,5,2,1,1,8,1,48
6,7,6,325,6,1,1,2,4,1,35
6,4,2,0,2,1,6,2,2,1,13
6,10,6,100,5,2,1,2,5,1,46
4,0,1,10,2,1,6,2,3,1,24
3,9,2,60,3,2,6,2,5,1,35
4,9,1,20,5,1,2,1,8,2,24
6,10,6,190,6,2,1,2,3,2,48
6,9,6,120,6,1,1,2,5,1,35
1,9,1,90,4,1,5,2,3,1,35
9,8,9,55,3,1,1,2,8,1,59
6,6,6,30,6,1,1,2,3,2,12
3,6,1,125,2,2,6,2,5,1,47
6,8,6,60,4,2,5,2,1,1,13
6,7,6,110,6,2,1,2,2,2,24
3,10,1,30,6,1,6,2,4,1,24
6,10,6,100,7,2,5,2,3,1,24
3,10,1,150,5,2,5,2,4,1,35
6,8,6,0,7,1,4,2,1,1,24
6,10,6,135,6,2,6,2,1,1,59
4,8,1,205,5,2,1,2,5,2,35
6,9,6,30,2,2,1,1,5,1,59
6,8,6,160,4,2,1,1,7,1,35
6,9,6,10,6,1,2,2,2,2,10
6,5,6,20,7,2,3,2,1,2,46
6,7,2,100,4,2,6,2,7,1,35
6,8,6,180,6,1,1,2,2,2,12
6,9,2,90,3,2,1,1,8,1,48
4,7,1,20,2,1,6,2,3,1,35
6,8,6,50,7,2,3,2,3,1,10
3,10,1,0,4,2,1,2,7,2,59
6,5,6,0,6,2,3,2,2,1,10
6,10,6,25,3,2,1,1,5,1,46
6,5,6,0,5,1,1,1,5,1,35
4,8,1,40,5,2,5,2,3,1,10
1,7,1,80,1,1,6,2,8,1,10
1,8,1,25,2,1,2,1,3,3,11
6,8,6,0,5,1,1,2,2,2,13
4,6,1,50,2,2,6,2,6,3,11
6,9,6,130,5,1,6,2,4,1,59
6,8,6,0,1,1,6,2,5,1,24
1,8,1,0,1,1,6,2,2,1,59
6,10,6,105,4,2,1,1,4,2,48
1,3,1,55,2,2,6,2,1,1,13
1,8,1,0,6,1,1,2,2,1,24
1,8,1,65,2,1,6,2,2,1,12
3,7,1,50,3,2,2,1,7,1,24
4,8,2,85,3,2,2,1,5,1,24
6,10,6,70,6,2,1,2,2,1,13
4,8,1,45,3,1,1,2,5,1,59
6,6,6,0,1,1,6,2,6,1,48
4,5,2,20,1,2,6,2,8,1,24
6,8,2,60,4,2,1,2,8,1,10
3,8,1,140,3,1,6,2,4,1,35
4,7,2,170,1,2,6,2,4,1,35
6,10,2,30,5,2,1,2,1,1,35
1,8,1,105,2,1,1,1,8,1,48
1,8,1,205,2,2,6,2,7,1,35
1,10,1,105,7,1,1,2,5,1,35
4,7,1,50,6,1,6,2,3,2,24
6,6,6,80,5,2,1,2,5,2,13
6,7,6,195,3,2,2,1,8,2,24
6,8,2,10,2,2,1,1,4,1,59
3,7,1,70,2,1,6,2,7,1,24
4,5,1,20,4,1,6,2,4,2,10
6,8,6,0,7,1,3,2,3,1,59
2,8,1,120,5,1,1,2,8,1,35
6,10,6,300,2,2,1,1,2,2,35
6,7,6,170,7,2,3,1,4,3,11
1,5,1,40,3,2,2,1,8,1,24
6,10,6,70,6,2,1,1,4,2,12
4,7,1,85,3,2,1,1,4,1,12
6,10,6,0,5,2,1,2,7,2,47
6,10,6,0,5,1,1,2,3,2,12
6,8,6,90,6,2,5,2,1,1,59
6,7,6,30,7,2,6,2,3,2,24
4,10,1,0,5,1,1,2,3,2,35
6,7,6,60,2,2,6,1,2,1,10
6,6,6,50,5,2,3,2,3,1,47
4,6,1,45,5,1,1,1,8,3,11
6,7,2,50,1,1,6,2,8,1,59
4,8,1,40,4,1,1,1,8,1,10
6,99,6,85,3,1,2,1,5,1,24
3,7,2,190,1,1,6,2,4,1,35
4,8,1,40,2,2,6,2,3,1,35
3,7,1,170,5,2,1,2,8,1,48
6,8,6,45,5,2,1,2,4,1,12
4,9,1,5,4,2,1,1,7,2,48
6,8,6,30,5,2,1,1,7,2,35
6,10,6,210,5,2,6,2,2,1,59
6,99,6,0,5,2,1,2,6,1,35
6,8,6,0,6,2,3,2,1,1,24
6,8,6,200,5,2,6,2,3,1,12
4,7,1,20,3,2,1,1,8,2,47
6,8,6,0,6,1,1,1,5,2,13
6,5,6,0,5,1,6,2,1,1,10
6,8,6,20,2,2,1,1,5,1,59
6,8,6,50,5,1,1,2,4,2,12
4,9,1,10,4,1,1,2,2,1,35
4,9,1,30,3,1,2,1,6,1,24
4,8,1,0,4,2,5,2,3,1,46
1,7,1,65,1,2,6,2,8,2,13
4,7,2,30,2,1,1,1,3,2,46
6,9,2,0,1,1,6,2,5,1,35
6,9,6,75,2,2,1,1,4,1,48
6,7,6,45,3,2,1,1,8,1,35
6,8,6,40,4,2,1,2,4,1,24
3,5,2,0,1,2,6,2,2,1,35
6,7,6,150,4,1,1,2,6,2,13
3,9,2,45,1,2,6,2,6,1,48
1,4,1,180,4,2,6,2,4,1,35
6,8,6,85,2,2,1,1,4,2,46
6,8,6,0,5,2,1,1,3,1,48
6,8,6,0,6,1,1,2,3,1,24
4,1,1,525,5,2,3,2,2,2,35
6,9,6,60,6,1,5,2,1,1,24
6,10,6,0,6,1,5,2,2,1,13
6,9,6,35,6,2,1,2,6,1,47
4,8,1,60,2,1,2,2,8,1,47
6,10,6,0,6,2,1,1,8,1,35
6,8,6,40,6,2,1,2,2,1,35
6,10,6,520,5,2,1,2,8,1,13
4,9,1,50,3,2,4,1,2,1,24
6,10,6,145,5,2,1,1,4,1,35
4,10,1,55,2,1,2,2,5,2,24
6,10,6,30,6,1,2,2,2,1,13
