state,year,spircons,unrate,perinc,emppop,beertax,sobapt,mormon,mlda,dry,yngdrv,vmiles,breath,jaild,comserd,allmort,mrall,allnite,mralln,allsvn,a1517,mra1517,a1517n,mra1517n,a1820,a1820n,mra1820,mra1820n,a2124,mra2124,a2124n,mra2124n,aidall,mraidall,pop,pop1517,pop1820,pop2124,miles,unus,epopus,gspch
"AL",1982,1.37,14.4,10544.15,50.69204,1.539379,30.3557,.32829,19,25.0063,.211572,7233.887,0,0,0,839,.0002128,146,.000037,99,53,.0002536,9,.0000431,99,34,.0004468,.0001535,120,.0004138,32,.0001103,309.438,.0000785,3942002,208999.6,221553.4,290000.1,28516,9.7,57.8,-.0221248
"AL",1983,1.36,13.7,10732.8,52.14703,1.788991,30.3336,.34341,19,22.9942,.210768,7836.348,0,0,0,930,.0002348,154,.0000389,98,71,.0003515,8,.0000396,108,26,.0004929,.0001187,124,.0004276,35,.0001207,341.834,.0000863,3960008,202000.1,219125.5,290000.2,31032,9.6,57.9,.0465583
"AL",1984,1.32,11.1,11108.79,54.16809,1.714286,30.3115,.35924,19,24.0426,.211484,8262.99,0,0,0,932,.0002336,165,.0000414,94,49,.0002487,7,.0000355,103,25,.0004753,.0001154,118,.0004097,34,.0001181,304.872,.0000764,3988992,197000,216724.1,288000.2,32961,7.5,59.5,.0627978
"AL",1985,1.28,8.9,11332.63,55.27114,1.652542,30.2895,.37579,19.67,23.6339,.21114,8726.917,0,0,0,882,.0002193,146,.0000363,98,66,.0003385,9,.0000462,100,23,.0004665,.0001073,114,.0004014,45,.0001585,276.742,.0000688,4021008,194999.7,214349,284000.3,35091,7.2,60.1,.02749
"AL",1986,1.23,9.8,11661.51,56.5145,1.609907,30.2674,.39311,21,23.4647,.2134,8952.854,0,0,0,1081,.0002669,172,.0000425,119,82,.000402,10,.000049,120,23,.000566,.0001085,119,.0004525,29,.0001103,360.716,.0000891,4049994,203999.9,212000,263000.3,36259,7,60.7,.0321429
"AL",1987,1.18,7.8,11944,57.50988,1.56,30.2453,.41123,21,23.7924,.215527,9166.302,0,0,0,1110,.0002719,181,.0000443,114,94,.0004585,11,.0000537,127,31,.0006077,.0001483,138,.0005328,30,.0001158,368.421,.0000902,4082999,204999.8,208998.5,258999.8,37426,6.2,61.5,.0489764
"AL",1988,1.17,7.2,12368.62,56.83453,1.501444,30.2233,.43018,21,23.7924,.218328,9674.323,0,0,0,1023,.0002494,139,.0000339,89,66,.0003284,8,.0000398,105,24,.000544,.0001244,123,.0004677,25,.0000951,298.322,.0000727,4101992,201000.1,193000.5,262999.8,39684,5.5,62.3,.0353918
"AZ",1982,1.97,9.9,12309.07,56.8933,.2147971,3.9589,4.9191,19,0,.209012,6810.157,0,1,1,724,.0002499,131,.0000452,76,40,.0002837,7,.0000496,81,16,.000518,.0001023,96,.0004404,36,.0001651,173.668,.0000599,2896997,141000,156378.7,218000,19729,9.7,57.8,-.0431819
"AZ",1983,1.9,9.1,12693.81,57.55363,.206422,3.8901,4.83107,19,0,.203855,6587.495,0,1,1,675,.0002267,112,.0000376,60,40,.0002878,7,.0000504,83,19,.0005269,.0001206,80,.0003653,17,.0000776,196.89,.0000661,2977004,138999.9,157521.4,218999.9,19611,9.6,57.9,.0762055
"AZ",1984,2.14,5,13265.93,60.37902,.2967033,3.8226,4.74461,19,0,.209127,6709.97,0,1,1,869,.0002829,149,.0000485,81,51,.0003696,8,.000058,118,34,.0007437,.0002143,123,.0005591,33,.00015,212.361,.0000691,3071996,138000.1,158672.5,220000,20613,7.5,59.5,.106214
"AZ",1985,1.86,6.5,13726.7,58.64853,.3813559,3.7562,4.65971,21,0,.188428,6771.263,0,1,1,893,.0002802,150,.0000471,75,48,.0003429,11,.0000786,100,26,.0006257,.0001627,121,.00055,30,.0001364,225.824,.0000709,3186998,140000.1,159832,220000,21580,7.2,60.1,.0781956
"AZ",1986,1.78,6.9,14107.33,60.28018,.371517,3.691,4.57632,21,0,.171539,8129.008,0,1,1,1007,.0003071,173,.0000528,85,72,.0004865,19,.0001284,104,30,.000646,.0001863,130,.0006161,25,.0001185,242.827,.0000741,3278998,148000.1,161000,210999.9,26655,7,60.7,.0677125
"AZ",1987,1.72,6.2,14241,60.21506,.36,3.6269,4.49442,21,0,.168724,9370.654,0,1,1,937,.0002767,172,.0000508,87,50,.0003356,16,.0001074,99,25,.0006111,.0001543,121,.0005708,34,.0001604,241.78,.0000714,3385996,149000.2,162000.3,211999.9,31729,6.2,61.5,.0641113
